citing_ut	cited_ut
000308975100002	000276111800006
000429194600022	000308577600013
000442986200003	000286661000009
000283899400023	A1993LE47500010
000288512400003	000078650400008
000347080900007	000167788900013
000301032400006	000289760900026
000167279000008	A1996VD86300015
000414883000016	000330172600001
000418316500012	000271966800009
000337995500149	000260235700001
000487122600007	000295720400001
000459409700004	000349737300036
000186592700006	000173193700029
000395175300001	000366909700001
000447785900014	A1994NT64400003
000263735800005	A1987F627700006
000303666000001	000292461300050
000267198500009	A1993MM84700003
000175815600002	A1992JL61400013
000182018200007	000083557600007
000187843300002	000174598500017
000247437000005	000230521000048
000169473800036	A1993MK89500010
000334647500019	000288400800019
000389329300002	000235417300001
000281596400007	000259207600004
000258440500005	000245785800006
000274452100004	000247162000006
000378630600075	000366681600010
A1994NN87700063	A1989U445000025
000469882200001	000371261700040
000283211500002	000086588900002
000252867500005	A1995TF91800003
000244948900008	000226392100013
000286437800005	000273178700076
000483933100020	000367630700056
000405180900068	000311409300011
000256574900012	000085621200001
000332049100030	000266418400009
000417179000004	000088009000005
000466610700011	000324610200004
A1993LV53400002	A1987L594200005
000307515300006	000175869600016
000436185900001	000355979500058
000350612800023	000310396700037
000468419700008	000362494700008
000232675100008	A1987H347000011
000224332700011	000173545200003
000248912600012	000232829100052
000329081200045	000294480600008
000298751300084	000089241000061
000494116400001	000343018500003
000456754500024	000088880200004
000470344900001	000323206100012
000311553600014	000271312500010
000332403900010	000185182700007
000398087800001	A1992HX19300023
000303475800009	000235725600089
000409564600005	A1989AP35700026
000382751500004	A1993LA72900013
000081210900010	A1995TB46500098
000276021700001	000186728300025
000345568000007	000258901600005
000451061700005	A1987K211300062
000459169800012	000185672600006
000358424800005	000299321000038
000088293300007	A1995RX30200010
000404310700004	000305942200020
000409439900037	000177199500021
000409841100104	000227192500001
000440847100005	000345732500004
000391546200001	000312440300001
A1997XN79400001	A1996TW03800021
000318002900017	000271141400018
000254376800005	A1996UW35200056
000332424000004	000275474000023
000321148400172	000231050700011
000447661300005	000379786800040
000456071400014	000334410100015
000418425100016	000086961200006
000441486200002	A1997BJ91M00010
000367817300020	A1995QM01200033
000276655700042	000175588600022
000246371800024	000072153500018
000432662400019	000351978700018
000265540200005	A1997XQ36000001
000179198300014	A1989U681500004
000324984500001	000282637300005
000293765500008	000227126700014
000401215300010	000188791900010
000237320800014	000179946400008
000471644000008	000425723100029
000456028900025	000364451400001
000436623300002	000373411100021
000380016800008	000266071200018
000418984800001	000337012200004
000447977600006	000087615000002
000512766500018	000294079400003
000457690600282	000485310600026
000324470100060	000305966400014
000409231400028	000328450200024
000457728500019	000225569100001
000258969700001	A1997XY51500072
000255246400008	000227492400003
000222923300018	000179545200021
000252558500008	000242042800027
000321223000018	000072345600002
000403446100007	000344333800018
000248233900005	A1980KB52800002
000485734200014	000280332700007
000519224100004	000239850600013
000461414600018	A1987L270900017
000485324300020	000324695900074
000252130500002	000238984800003
000329081200045	000242140600005
000380608100089	000330768700163
000353891400005	000232719300005
000450690700002	000336687900068
000429283300003	000321698100028
000414659600003	000331107700037
000280048800007	000246293500001
000348083700026	000186119300006
000424634000028	000221234300027
000369301100003	000168197200002
000314743600007	000174566400030
000242630000007	000087107300007
000183796900008	A1983QG59900001
000311939400001	A1992JF85300054
000311409300016	000170492600038
000278212700009	000220459100004
000371364300010	000225268500019
000506469400001	000375737200015
000474319500057	000280568300015
000262578800008	A1993MD68500016
000244892500003	000083754200013
000400132200007	000278107300010
000433217100007	000426371400005
000392486100008	000319536700040
000500344300003	000437863900002
000452583600015	000372464100009
000406945500001	000308141900009
000474835600033	000379710700007
000267690600014	A1995TG28100001
000229279300006	000072459600068
000246692300010	A1995TD15500002
000244468000011	000183892000015
000356626700023	000228236800038
000290950500017	000261246400007
000383669200008	A1995RY58900022
A1994PP58400001	A1992JF85600006
000168616000002	A1996VF35400007
000496933100002	000419769300031
000302538900008	A1992HY05300099
000356626700023	000276019900006
000456089700007	A1984TD25900001
000516507900001	000356442100008
000367436400022	000240780000003
000315559900029	000288634300008
000185837700002	A1997YC45700005
000227185700023	A1996TZ98300025
000385325300026	000244822500003
000343298700006	A1997WV72100046
000515096600029	000385325300013
A1997XN79400001	A1995RK17100031
000387994000004	000221265100001
000078115300016	A1993LR46400005
000224374000016	A1997WM64900010
000245198700010	000237625700013
000271899800006	000235628500012
000072345600002	A1993MD68500001
000082776900006	A1997XK16500010
000276111800006	A1986D293400002
000266128400007	000185294200001
000340040200008	000321199000007
000077606500008	A1985AJM0100007
000313234800027	000253165000038
000375330500026	000251717800011
000247725200031	000231232300013
000384302300001	000281173000023
000223782100006	A1980JK26800088
000178375200007	A1994NC04300049
000424961300037	A1997XW04000009
000369172800003	000304139100012
000387670700001	000307022700006
000441788300036	000227829500007
000401460900010	000244176000014
000182787600014	A1989AL21200003
000338804700015	A1995TM62700001
000375203100001	000317291700006
000331654600011	000288400800018
000393058600009	000317977200005
000321742600003	000220759900024
000470116800002	000260977300014
000185632400002	A1997WE88700007
000323101100001	A1983QV92200029
000488122400001	000331107700037
000086205600004	000073663600038
000264263900009	000089933800011
000342252600003	000289582900009
000414946400008	A1980JG14100008
000456227800007	000242018300045
000276547500008	000233843900015
000253702300001	000173495700015
000302538500009	000178998100010
A1996VC80900017	A1989U845400016
000458027800029	000188791900010
A1983QL86800002	A1981MQ39900001
000165781600004	A1996UA75700020
000085441000014	A1981ND59800004
000276446400004	000233216700019
000447661300005	000233225000109
000228678000008	000165277600005
000220955800007	000077828900020
000230779000006	A1992HG60200063
000293022500004	000173495700007
000319068300010	000088891700013
000383924700012	000264390500001
000452626900001	000271362400002
000265375000004	000185648100042
000504645600001	000463011500001
000271645000003	000225200500002
000227338500015	000088902000002
000348061100006	A1997WK44100008
000443610300006	000241271300013
000479413100001	000268325000026
000457512500012	000274707300028
000369005400005	000165911000016
000338337600001	000223863400005
000426775500015	000287494000012
000387254000016	000330294700029
000374976500009	000229283000015
000443879300001	000345684000030
000170496400009	000072434600001
A1986F247600064	A1984TQ42500037
000266441700009	A1996WA68100025
000470789300002	000375519300002
000319513500002	000178237800008
000220784900005	000165358700011
000234960900002	000222319200003
000188545700018	000180186000033
000445324200001	000405703900003
000454692700010	000177616200008
000441894200010	000173813400003
000434977100013	000290020700011
000439942500027	000398567200010
000246267200007	A1997VR52700002
000363866900009	000312892500024
000495518700039	000297883300001
000406965300003	000077818400005
000383801200016	000289214300019
000275079400003	000265455700002
000209703700024	000272441000010
000281292100032	000180426800044
000316357800024	000179071500010
000411350700006	000246018000011
000312453900005	A1996VF83800007
000254258000002	000230049500029
000404735600008	000081854800025
000186840600006	000166621800005
000209580500016	000209580500004
000439727300010	000331970700011
000302147300021	000302538900008
000276750500002	000221286700001
000284215000001	000236087400001
000180485300002	000082137400003
000290174500018	000220134500023
000462677600001	000167876900021
000342853900051	000286655600027
000226200600007	000182387900021
A1994NU12800058	A1987L039800087
000466708800004	000396781200011
000235992300029	A1993KC73100003
000167816700001	A1988Q548000002
000348372700005	000318383200003
000308128800005	000295707600009
000440124400021	000244000700003
000282396500005	000241311000037
000281221400002	000087107300007
000350990500005	A1992HJ13900009
000173270000028	000073283900003
000269766900008	A1986C098800015
000334361800006	A1991GF11500016
000308975100003	000077899500003
000378631800008	000299813200005
000382591600038	000317911700020
000396962500021	000309901700002
000496828200001	000354114900008
000258433100002	A1992HD28600003
000286655600027	000189096200022
000296068200022	000244299600003
000384307300024	A1995PZ98200010
000307671100004	000235885600002
000417072500006	000269656200009
000326439800013	000263031600010
000277793200018	000263814800016
000352292900019	A1997XB78800023
000365289300021	000330172600001
000456641100036	000089762200007
000303286400015	000088589000021
000226348100004	000172845200010
000358666800003	A1993MC35400006
000327346800008	A1992JR13000003
000344475600005	000269970200010
000440682800009	000316249300002
000442059800002	000365606100039
000257328900007	A1997YD41700009
000257649000027	000175341500003
000338617800013	000287113600003
000386508400002	000247419800008
000310273500003	000226100600039
000514996200006	000240317000008
000360625700027	000278703800001
000282940000012	000280320900011
000175226800010	A1988R112800005
000365803600012	000175690400011
000474467902017	000258474300027
000448813900018	000342116600019
000221926100026	A1983RA75000008
000371434500110	000302722800023
000375201000002	000330356500016
000324550600016	A1993MH88500011
000321618400004	000078736900026
000301533200011	000273264200020
000402820600002	000279503900009
000315004600051	000076857900004
000490242000001	000377043200005
000404872600001	000299491700002
000269417400009	000254755700018
000384310000007	000317539200023
000354189600034	A1986D172700010
000440115500004	000274452100004
A1991GL00400001	A1984SF56000026
000505349600001	000226617900050
000329872400008	000250631900011
000479046800010	000272394400062
000252932300004	000084725400006
000174598500015	000073359900047
000165666100007	A1985A403700001
000358666800007	000329139800013
000496832900001	000384831800001
000405976300010	000317634300007
A1995RF29600013	A1991FA94000016
000402541800015	000171986700026
000243992000004	000168528100014
000079808900008	A1991EY38800002
000386519700009	A1986D032400012
000436133100001	A1996UX74300018
000072050700020	A1993KU30500003
000355780700006	000269990600003
000404289000010	000175832600002
000343315900008	000313417700001
000443555100012	000373604800016
000417773300001	000326009600038
000324903700001	000232719300005
000299037200005	A1987F731900003
000400166800003	000335199000048
A1996UU99900005	A1988M298300005
A1997XD16500012	A1990DX59600013
A1992JZ82700008	A1986D925500002
000493304000003	000388156400002
000440775200016	000381532300029
000237652900008	A1990CT85000002
000341286100025	000304256500004
000326770200023	A1992JA71500017
000279829100002	000225651300011
000395852200007	000335808900016
000361917400005	000261161000014
000330740600005	000265856400006
000441331700013	000238699800006
000456351100011	000435525100085
000377055800034	000283118000014
000208855600003	000089158000012
000412839900005	000302771900012
000290173800008	A1990DL77100002
000508492400007	000501437900003
000388912300009	000178386700006
000305341900006	000280997500007
000345701000003	000074614400009
000502881300012	000389046900033
000252776200002	000247907000021
000259747900016	000185924500039
000414576100006	000183724000002
000402811500009	000339819800018
000291605400007	000233029300001
000416391400014	000256185200043
000175060900004	000077899500003
000284172100005	A1994NB44200008
000318470000003	000172289800020
000293084800004	000083754200013
000387441000011	000302616200008
000357122000010	000254978700006
000472753300013	000377155400043
000338521400015	000296874600007
000229286000006	A1990CR47400027
000280245300006	000261667300004
000330331500006	000294653800005
A1997XY92400001	A1981NJ01200003
000273175200007	000232445200022
000172320100015	000073440100006
000401903400003	000229075300002
000279214000005	000071914900043
A1994PT04200006	A1982PP62400088
000428630000089	000388835700073
000313807000001	000228974100004
000315635400006	A1996VU03300087
000259452500007	000078090900013
000457690600367	000324638000008
000307166600001	A1992JC61600008
000362795200005	000307616500013
A1990DF91900011	A1982NP95800020
000184519000009	A1980KT32200134
000240780000003	000186354100013
000312517400017	000174946200045
000418615000001	000286655600027
000264873800014	A1988T203700015
000074544500003	A1991EY04500009
000361186600009	A1991FB14300006
000419952400074	000325427100001
000308282900005	000251948500024
000413149200009	000311500300001
000078150300006	A1984TA38100030
000330172600001	000078090900013
000379935200010	000202959600001
000406952200005	000297323700004
000394343300003	000258811600009
000439820900002	000238294400007
000269771000002	000182143900009
000171293800005	A1997XA82600014
000287450200011	000245168000037
000380055700005	000076113200005
000424890900013	000268535300014
000403494200007	000347720100015
A1997XU35800005	A1994NP28000003
000249917600010	000087397600003
000351906000022	000287900900005
000299037500008	000299037500003
000308012200007	000079315500003
000288277800005	A1993ME67600008
000409309300022	000357527600063
A1996VN68700005	A1995TL82800014
000463591200008	000071220000001
000403988300007	000266243700050
000180439200026	000087134100003
000254264800123	000088880200004
000257628100003	A1994MR04500015
000271347300007	000088891300005
000224852200004	000178938600007
000184699800004	A1993MD68500009
000180509800016	000082612900006
000348845600015	000242175800004
000383820500004	000269231300011
000352478400035	000296143900007
000457690600003	000166621800013
000466400700005	A1983QX24900013
000334182600002	000245280100044
000370450900002	000208258200002
000323736200007	000176313200006
000488143000087	000395604800003
000477742500141	000454440100192
000169079000002	000081403500014
000443231700014	A1986AXG4200004
A1992KU72900003	A1988Q803600009
000253950500026	000233078000027
000185007100009	A1991GK96700005
000345684000030	000329503100011
000292931200037	000268065100057
000174932400020	A1991GN83300048
000350522200013	A1997WN96800018
000281500700008	000258433100002
A1994ND55900008	A1991FR44600008
000349001400004	000257649000027
000232359300004	000184242700004
000222891300007	000178190800001
000302277700005	000223810400021
000179800400001	A1986E120900002
000347054600004	A1997WX98500009
000368095200006	000302722800050
000450221800006	000246108700065
000397395600007	000166190100011
000445313900003	A1997WR34800006
000407232500006	000237922300003
000456641100036	000080235700004
000403083000021	000343315900007
000366771400052	000331107700037
000168294500003	A1984SG11900143
000257973400002	A1992HJ08100012
000444793600001	000277483000013
000467728000009	000285478400014
000233843900015	000229887800009
000331678200012	000267874300010
000405888900002	000295716100001
000416220000043	000221071500001
000328615300021	000184092500002
000498228100009	000417239200002
000174400600004	A1995RV40200014
000259565700009	000184808900018
000230248700019	000181381400003
000358611500005	000187504900016
000462935100002	000348560700024
000416192700010	000291625300009
000356835800185	000355187300019
000267690600014	A1996TZ98300044
000453874900010	000241102600024
000305966400014	000273646000009
000472965100001	000268245500001
000499935300001	000180968900119
000504359800001	000429194600022
000281385800006	A1997YA44700025
000177713600002	A1995RX83800003
000178386700006	A1997XD41200001
000279223400001	A1988P804700027
000515699900001	000177540500001
000402566600001	000278572300016
000515699900001	A1990EG85000002
000084725400006	A1987J295500007
000294773100017	000245076200033
000405580000022	000328273100001
A1993LN99700005	A1987K563300019
000292503300008	000233843900015
000451222800014	000270742000005
000446521200002	A1997WR39800005
000224636100003	A1992KX11900046
000221031500001	A1996UC05400007
000332424000004	000227981800041
000178497500006	A1992JT76900007
000375204000001	000245492600001
000336858300021	000304607100015
000389444800026	A1982NZ02600022
000460242100077	000253746400006
000402608700012	000280636900007
000491638300005	000356827700012
000285305000001	000248051300004
000430337700096	000300082100062
000351906000022	000268727400021
000383670100007	000224374000007
000490384200001	000441238500014
000079474200004	A1984SK60200024
000225200500002	000166985900008
000315184200201	000279223400001
000284215000001	000255800200014
000414515200004	000313769600062
000388181100007	A1984TA82400001
000432551900015	000278054700043
000075113800012	A1986F015100010
000331970700011	A1994PF76100020
000357404900007	A1992KL53200010
000426090300011	A1987K958800013
000342525900009	A1996VF35400007
000179046400006	A1997YH74600003
000247904200002	000221860400001
000242146300003	A1991JE49900002
000287428500016	000270203100028
000281173000023	A1995QW24000009
000312829100004	A1993MD68500022
000428103900008	000184469000006
000402566600001	000367210700004
000371081600001	000292461300050
000188774900022	A1997XQ36000001
000185652900001	A1991GJ96200038
000427906900015	000182787600024
000506707800014	000313059000006
000472133300217	000381517900012
000242999700005	000167089300002
000267757000024	000179446400008
000173193700029	000083325200007
000209418400002	000074542300030
000235738700001	000084049900003
000289346500001	000276476400018
000248627400002	000170683500008
000189293200001	000074450500001
000458708000002	000293510700004
000336238200007	000314193500026
000182078900009	A1992HV21700017
000512058200013	000447947600013
000263040100018	000244822500006
000268304700021	A1992HB35900007
000295109900001	A1981LJ06200012
000336186400016	000251521000012
000428497700025	000169455400020
A1993MH88500010	A1993MH88500011
000513293900011	000392767800027
000463165100001	000253351000002
000418896600002	000276151600012
A1993BZ69H00004	A1984TY62600005
000224473600009	000073360600033
000380376100005	000246798300005
000385794600005	000385794500003
000071245900034	A1995QU41000010
000176689500007	A1984AAK0200035
000428940600003	000367210700004
000381381100048	000226244100002
000245776400030	000173052200020
000237652900008	A1994NP03800018
000074811000012	A1993KR86200001
000362666700007	000171664000002
000359421400008	000258862300010
000408996500015	000310707000004
000507248900001	000233859600001
000288642200001	000168623300011
000402945900004	000074020000042
000343589200001	A1996VD01300007
000322220700012	000312648500003
000372310700001	000167656400004
000429293500007	000367906700005
000268303600003	000241788500010
000255443800001	A1980KA74500011
000438829800001	A1986C223200034
000170663600011	000081803500013
000488998300059	000257649000027
000339665700001	000289346500001
000371828100036	000331422500018
000220021000018	A1995QR39200019
000398567200010	A1990EB29900055
000313417400022	000266071200018
000273630200021	000174289600022
000082776900006	A1991GR85400009
000264484100004	A1993MD45000001
000341971800013	000251211300006
A1988R129000005	A1985AUV0200014
A1996TT55800026	A1991GR20500018
A1986C273800007	A1982NF71900009
000184970900035	000171211800003
000342670000005	000165955400003
000325113400005	000166993100001
000229421400021	A1995TL69500021
000312351400004	000167854100005
000422687100004	000282089200003
000318716700022	000268303600003
000165358700011	A1994PD58500003
000247539000022	000184530100006
000224735500006	A1991GP08700003
000334009700005	000080262500006
A1995RD99300007	A1993LZ80600001
000277947400001	000243272100004
000289188700016	000225200200002
000465089500025	000378767100002
000459327400008	000243966400001
000341122000081	000256466900005
000286478200019	000179145900005
000168876300020	A1993ML93700007
000296395600004	000276964200006
A1992HK36400099	A1989AY82200005
000394286300020	000231045300007
000227606200007	000087259700005
A1990EM29800004	A1987K953500007
A1993MH58000008	A1990CW60600002
000413308700041	000316115400024
000416608700001	000180626000004
000299266500013	000251155200068
000207610600023	A1996VP24600017
000395678700005	000086472400007
000396906100002	000319799900163
000446468000014	000339799100006
000452728500001	000369489900001
000504838100010	000075936000010
000244303400017	000226762000011
000315932900021	000234700500001
000172347400002	A1996UY61600002
000438916100003	000169788500007
000359421400007	000289162100014
000410546100023	000225093200012
000484489400002	000360006000014
000306087100013	000176775400030
000303501500008	000285127500012
000469897700055	000086485300002
000465099500015	000356534400012
000456495400011	000326770200023
A1989AZ87200013	A1985AJD8200007
000282905600001	000237922300008
000445890100010	A1997XQ63800003
000504925700004	000374364400021
000359645200009	000330172600001
000374673600013	A1996TU98300021
A1992GY04700058	A1987J853400011
000462734000001	000272624200011
000349662000027	000272481500006
000260052200002	000245376400004
000229489400007	A1996BG79E00040
000283691700003	000259045900002
000264379200021	000071817100008
000308417500011	A1990EN25000012
000480462400001	A1989CL27900001
000407664500009	A1989R648500009
000412168900023	000320684700027
000278572300003	000176403400004
000248912600012	A1992HU76700002
000326770200023	000289288700014
000400338300001	000233096600020
000380975800001	000187889600002
000471115400096	000344938800001
000223174000011	000184231300001
000325482800018	000288046200001
000400082100019	000317297100007
A1996UW35200057	A1992HQ05300026
000233309500014	A1993ME48100075
000315184200201	000265649200002
000375203100001	000316004400014
000306000100001	000226244100002
000309314200039	000263133700008
000497255700001	000209377200006
000457766500005	000258322700039
000424557700013	000230049500029
000405976300010	000368393500002
000424188800013	A1989CA83100013
000229807200003	000229807200050
000269771000007	000073792300004
000354189600033	000071978500003
000308313100017	000273559200077
000233430600004	000168676500021
000185164400129	000072564000014
000393248700008	000349389800003
000322099500002	000236548400034
000290174500018	A1984TS81900019
000391817200015	000261992000001
000242904600028	A1995RK57800006
000221210800002	A1996WA70800014
000333881200003	000232873700001
000309715800012	000073264100012
000366388100260	000311272300079
000406965300005	000245353700009
000278152500004	000241044100018
000208434000007	000250187000017
000341774800011	000277830200009
A1986AXV1000027	A1984RZ41900018
000287363000025	000175588600022
000416197100014	000262791200043
000498471900001	000312197000001
000224793200017	A1987H933300001
000483634300030	000442224000012
000434277900005	000189349800022
000464299000010	000281305900031
000237428300013	A1993KT64600009
000286085100009	000225307700005
000296350100113	000264090800006
000388716300005	A1990ET73000012
000270578100013	000255099000037
000368925200037	000272563700004
000227314600008	000085409600068
000182714700008	A1993KM60700043
000224607000001	000087807600005
000237368400025	A1995RJ13000003
000302722800010	000262517400012
000278899500014	000087475100039
000457501800015	000348146600002
000482499900009	000278582400023
000174598500012	A1996TV68800048
000252019300009	000078090900002
000180603800012	A1990DX47800080
000397500200003	000346130200012
000387098700001	000329862500039
000347249100002	000222414500001
000353898600002	A1992HX19300007
000353916900004	000169778700036
000375676400013	A1980JG27500003
000323549300007	A1997XF61300002
000232041900010	A1996UK51900001
000273899600023	A1985APC2100018
000290174000010	A1988P699000012
000467570000001	000309612800015
000403972700002	000240142000048
000451934800009	000235488800014
000275770700005	000258631300002
000377956700084	000232719300005
000167279000001	A1987G320600015
000375323000008	000282875100011
000248249100012	000178510700015
000461538100011	000293726500043
000395742500015	000255504200015
000356431700029	000336532800011
000078990000002	A1995QZ09200005
000285208600012	000227944300006
000413751700001	000087266900011
000295898100001	000289926500007
000224332700011	A1994PP08700012
000169778700036	000088807700020
000307191100005	000273366700008
000417025400067	000328372500012
000381289800002	A1991EY83800029
000447542400006	000442617800010
000483408500011	000281203600038
000376804300019	000250294100003
000402463100062	000221880400175
A1990CU83900027	A1984TQ42500037
000412015300001	000331422500018
000428400500002	000343844600008
000187366400003	000088589000021
000499789400001	000358948500012
000227633900028	000222621000048
000415391200039	000284261800064
000243942500003	000073395200018
000182135500003	A1981MD80800026
000088880200004	000081381300016
000267409300026	000223695300004
000232010800041	000180485300002
000247882800001	000232404600005
000291995600006	000231917200007
000346775800009	000236303200020
000441788300036	000403827300121
000489670300001	000312605600018
000406965300003	A1996BG79E00040
000344528700011	000266071200018
000419173600027	000226450200005
000474318200001	000167816700004
000224616200014	A1992HR24100018
000169374800042	A1991FM77600027
000267198500009	A1988R112800005
000234473800007	000088382400012
000222074600004	A1997YK84000003
000387104800004	000290242000002
000418927100004	000168623300011
000227345900010	A1990EQ18500010
000307617300005	000263735800005
000305673900005	000270577500007
000310273500003	000180108400010
000399570100001	000348378300029
000299140300001	000267660600006
000227371300010	A1986D503800003
000180485300002	A1994PG50700011
000483710100011	000341383000010
000423003200005	000229996100005
000450275000010	000232719300005
000241295200021	A1982PW10100003
000168461900023	A1992HE27600051
000356241100021	000251667000008
000435396100001	000329250300008
000307200000002	000236198900002
000175693800015	000072166600003
000368097100003	000306317600019
000461329000034	000371434500015
000227854700001	000184155700084
000279870500009	A1990CR89300021
000278978800024	000247480200019
000497251500009	000246002100209
000457358000012	A1988Q548000002
000510171700001	000222217200001
000312428600013	000235210300048
000239961700006	000083507000008
000230678600037	000222946100039
000395934400042	000261259900005
000283059700019	000166325700009
A1995TL69500021	A1993LD34600028
000430005800003	000404481900006
000379957400008	000229129200004
000297631400064	000273264200020
000396947000028	000312197000001
000463892600059	000328213900011
000244133000010	000235919900009
000351906000022	000272117900033
000293549900001	A1994MW61600009
000367774200005	A1996TZ50100005
000428824900021	000087896600011
000501387300004	000079575600014
A1996VK58300013	A1983QH82900002
000431058700004	000329441500030
000183934700010	000078948700008
000289600100001	000184942300010
A1994ND15900016	A1985ANF2200024
000414435900007	000307100400005
000083805300008	A1994NU12800058
000234416400002	A1990CN14700008
000446469100011	000376479700017
000395450500002	000281410900004
000228710400002	000077609200003
000207481000006	A1989AK85100040
000301997300010	000228214600015
000322307100001	000280127500014
000165077300007	A1994PW45400031
000267198500009	000243400400011
000279503900009	000089795600004
000325404900005	000300723400003
000386984200019	000367906700005
000333228800006	A1992HD96900002
000243173500004	000180989700009
000374541000001	000292279500002
000313749100001	000264900200001
000428141600168	000403326200024
000461360700006	A1987K628700002
000492728400011	000291995600005
000341229200037	000188791900010
000285305500003	000178563900042
000299091500010	000180544200010
A1994PM82400007	A1993LC77500004
000382885200007	A1985AGM4500001
000083850200005	A1987J723700009
000316115400024	000239621300004
000473273500012	000410845300002
000321742600003	000236700100006
000389259200001	000338517700009
000266707500002	000229482300038
000238513900002	A1990CN64400007
000175776800001	A1996VP76400021
000346432900002	A1996UH53800006
000514759200011	000467970400003
000403643900058	000266150000020
000402814600050	000232522300007
000507519000046	000260745300021
000248214200011	000088589000021
000249176500008	000077128600021
000223174000011	A1994MZ75600009
000465089500025	000321341000118
000459165700003	000261797800024
000073115300019	A1989AX41200006
000351906000022	000238321500009
000375204000001	A1996UC36500002
000288634300008	000165545300011
000366137400008	000186292800009
000483976700032	A1992BV53R00017
000314672200026	000288390100005
000303601100005	000242146300001
000221182500001	000165911000016
000256815200007	000231998800013
000275689000005	000207610600023
A1997WU78200014	A1993PE59000001
000310821600005	000074811000012
000257348900002	000254683000001
000261967500001	A1991HE87300011
000269766900008	000167063300019
000501397200001	000227909200022
000373019300007	000299507000002
000245591100002	000177684100008
000281267400003	A1988N226200013
000383256600009	A1995RU99800004
000487964600190	000225530500014
000302153600008	000269264300015
000227783400001	000170173700021
000358649700012	000297179500010
000267604900012	A1995QR39200019
000456227800007	000252202700019
000499737900001	000314984000001
000321953700011	000271312500010
000233750000015	A1986D172700010
000173529600021	A1994PE95500011
000405745100006	000221396500012
000371218400051	000180626000012
000401617700002	A1991FC85300043
000455343900003	A1984TY40400017
000233096600020	000227660000018
000249935400003	A1995TD84100003
000173270000027	A1987G231800018
000087107300007	000077240100007
000283677400014	000223385000007
000335281000001	000295294600001
000359064300010	000238740800010
000350522200013	000178190800001
000417321300008	000083754200013
000304077800001	000262440900037
000307614300006	000234459600002
000385267900003	000232719300005
000350350300032	A1990CZ91500010
000441788300036	000298887300002
A1995QZ25200005	A1990CJ76400018
000258938400009	000185459200002
000404087100021	000346300500007
000286043800010	A1991EY38400008
000280643900014	000264263900009
000346685400007	A1985AHD5400022
000339696200012	000240063800001
000475411500067	000389344900021
000297517600004	000268440700001
A1993MF94500003	A1987G231800018
000453750500002	000084725400006
000452898600014	000375677800003
000082207800019	A1993MH88500010
000230194200002	000165784200017
000309752300004	A1990CQ97200063
000468872500001	A1981LL18100002
000245534700004	000171976800008
000311409300011	A1990CW31900004
000315333600011	A1996VP79900019
000347720100015	000175429100012
000308045500024	000221681000017
000438829800001	A1994ND69000005
000376375000016	000250791400011
000320235200024	000285127500012
000383261700009	000289691900014
000460992600012	000424448000001
000262350300018	000241704600002
000251035900008	A1997WR72000014
000417037900005	A1981LS39600003
000412108600003	000277914500001
000249727400001	A1995QE84100005
000307510900014	A1990CR89300022
000278007900009	A1996XG91100004
000331654600009	000262997400010
000220743400017	A1997XA41500005
000338819600012	000247328800001
000495572400008	000281713700010
A1997WJ63300013	A1985AGR5400018
000504649900012	000226171300002
000285411500007	000236198900002
000423642700010	000279343800043
000416423900013	000224900800004
000087703800021	000072166600003
000179737700004	A1991GA94000019
000227697200025	000183346500003
000309356600004	A1991GU48300010
000082775800001	A1995QE85500009
000312351400004	000172312300041
000379263100005	000228059000007
A1994NL29000014	A1990DK31800002
000469890300024	000246223600006
000393059100007	000246250900006
000178465500020	A1982PP38200030
000398567200001	000312195400007
000380059100003	000283208700004
000245526900008	000229594600002
000345605300006	000088880200004
000355055400010	000245668300007
000384782800034	000240705500009
000505349600001	000258306600006
000249981500008	000074020000042
000417633500046	000321997600010
000352141600006	000326585600042
000404929300016	000334899700005
000447245000003	000357748900008
000228705900023	000170811300018
000273630200031	A1994QB85400023
000321149700006	A1997XB73700007
000345568000007	000172872500020
000384307300024	000247354100021
000386830200015	A1987K971000011
000310270500015	000272687300005
000287830300007	000276773600006
000385325700016	000088589000021
000376532900010	000284747300004
000497106100001	000473116000104
000084315300018	A1981ML45100005
000449289800031	000245597600011
000465503800032	000368702900007
000404608300081	A1995RM26600055
000237996000027	000183407000096
000222454000001	A1993MQ07300017
000321436500011	000083754200013
000307550600001	000080526000002
000351231300003	000233117600004
000349426000012	000335167300012
000254577000004	000169960700002
000374158100004	000182853100041
000469154900014	000231304300009
000510431100058	000358089300009
000295971700013	000279934400012
A1993LQ30300001	A1982PQ90800017
000500354000001	000264356000013
000315657800005	000252446300001
000458406900001	000232719300005
000444939000002	000309901700002
A1996UD42800013	A1985AXS6500004
000299153000011	000178447100082
000480746800008	000336806700021
000427804800013	000349142600006
000273147400014	000249465600026
000165289900006	A1991FW15600016
000257828900002	000249917600015
000379366400021	A1993MD68500004
000312648500007	000252679600005
000400593400004	A1986D172700010
000401600200005	000291287100007
000386508400008	000248960700003
000370761700016	000322958800002
A1996VB93700002	A1992HJ05300044
000517524400001	000350210400099
000440304300004	A1996UQ64900011
000330490400015	000174936000001
000481590200121	000360500600019
000414883000016	000293787100002
000513560100001	000381860800013
000456214700004	000427208400016
000386989900005	000330369300005
A1993LY49800003	A1993LY49800004
A1995RE59400003	A1991EU57900001
000459492400016	000392895100008
000491800700001	A1995QL39700061
000370345300019	000259981600002
000432655600004	000293459100005
000277885000004	A1997YC45700005
000246267200007	A1997XF00900008
