citing_ut	cited_ut
000398662100016	000378929600014
000370884600005	000347151400013
000233829100015	000073595500035
000303061800003	000176689500007
000423005200002	000330172600001
000431613500022	000266521500017
000291417100003	000259910700010
000273758200008	000248741900002
000088009000005	000078090900019
000390319900001	000286786200013
000319433700005	000237104400005
000427332900014	000228962400028
000303472100002	000261956100013
000071822300031	A1987G578600037
000220955800007	A1988N549200006
000509617600007	000352144600004
000409394300014	000350210400099
000168258400023	A1996TT55800026
000474467902017	000324815300016
000485291800005	000082435700008
000317159900047	000084550200005
000457379300011	000312197000001
000260164500001	000167816700003
000184026500004	A1991GE37500001
000378631900002	A1981LX52100025
000410388000001	000166424600005
000369519600005	000222869600016
A1992HC53700001	A1988P793000014
000463663500061	000178203800008
000516507900001	000394898200018
000367530600004	000297416300013
000266997000016	000246265200009
000486313200004	000257947000024
000285361000004	000277830200009
000342629300002	000271362400002
000310339400012	000279503900009
000492484700024	000312453900005
000276084300004	000183980600002
000262478700007	A1994PF88100005
000089957700032	A1994NJ50800007
000440265300039	000362454800016
000446938400001	000207610600004
000236192800003	000172451600009
000475654100005	000357878700029
000170346000068	000085475100002
000237652900008	A1990DD32400012
000235892700011	A1992JP78600006
000397316500002	000265549400007
A1992KH31700044	A1983QZ96400031
000452394500004	000234378700024
000183939900008	A1993LW03100081
000251523600009	000238699200025
000423780000006	000295395300035
000072283600001	A1989AW53300001
000084783000011	A1991FB95200030
000464534700002	000233043800017
000476773900023	000404700200008
000349996200011	000329536400040
000353007200040	000299973600022
000499484800022	000223488100006
000288046200002	000089511100018
000170519500007	A1996UT53100024
000085100100005	A1991GP22400004
000336162300001	000227575000001
000352562700005	000304256500004
000381848500001	000253453600040
000264790600050	000248144600007
000176689500007	000078473600044
000343298700006	000165254600012
000316661600006	A1984TD04100007
000516221800002	000478642300006
000289805600011	000238712400006
000259708800029	000084550200005
000088003200012	A1991GG23900007
000307259800015	A1997YC45700005
000266692800018	000236296200004
000221928500019	000083109200012
000484177900001	000412754400028
000485737900009	000230978200002
000234993300007	000084093900004
000233309500014	A1988M939800012
000357686800017	000081128300014
000322342800106	000243350100042
000358096100009	000312676500019
000500001200005	000453664200017
000353699800001	000329441500030
000187936800017	000071111500002
000370207600001	A1994BC69A00004
000415967500006	000249264600006
000458596400003	000282407000006
000375330500033	000262525700016
000178375200007	A1985AQG2900004
000176065900005	000073500600013
000312675700005	000177535300026
000355055400007	A1989T591000003
000430926600018	000302722800006
000382404100004	000229807200050
000295890300001	000268629800003
000225990500157	000176762500066
000233750000015	000086622100001
000252019300009	000174841500052
000300696400011	000172794100018
000280846800018	000076094900001
000506151200021	000089964000008
000333853700001	000313769600020
000427174300001	A1994PD12700007
000381265100003	000350097300040
000371081600008	000242146300012
000402598500001	000277483000013
000419201000001	000238005500022
000430405500005	A1989AD70900002
000231047100019	000178497500006
000483128100001	000266243700050
000516538700001	000237261800016
000469407000001	000300150700004
000457690600096	000331107700037
000165781600004	A1997WR72000014
000328631200001	000172312400011
000419091500001	000354696700005
000362964400008	000172505600004
000296134800012	000252359800006
000398579400013	A1986D312800023
000402414700010	000239241800023
000330689100003	000188791900010
000359645200009	000326114000011
A1996UW35200056	A1996TZ68201176
000335936900025	000259130500017
000288370600004	000084725400006
000443455200006	000284073600004
000390105900001	000333123300004
000226640100003	A1996UX77200012
000086194800023	A1995RM81500005
000207455200030	000243504700044
000424890900013	000185659000007
000376800000044	000343613100025
000286484500005	000237930500005
000408743600006	000256619900011
000365094300008	000331107700037
000427022100003	000410467700003
000447092700118	A1994NJ74900001
000351452700021	A1990DV65200038
000457364500001	000394898200018
000242964100016	000186338400011
000088269700002	A1988R495800103
000369952100006	000184120500007
000175880600004	A1993KW47600015
000376527500001	000187504900019
000429765000034	000381241100023
000226972300010	000167875900020
000397013000078	000173464800008
000379812200017	000081255900009
000469154900014	000278433800021
000479264500010	000395180300021
000303079500001	000261205800003
000240082600005	A1992HQ16800007
000238691000023	000178336300046
000338989400014	000185651800004
000433487900001	000244719100016
000496892400063	000243193200005
000344752600014	000329197600003
000324074200015	000291980000006
000166366500008	A1987K283300027
000335298200065	000253775000014
000366879300012	000236070600016
000324984500001	000245901500024
000328476900009	000317887500006
A1993LY49800004	A1987K886900041
000458239300019	000316125200016
000255155700026	000166621800005
000275748100005	000188255500002
000318496300024	000086925700004
A1984AEN3200002	A1981MJ45400004
000085814900014	000074503400020
000412839900005	000085441000008
000293097200023	000221433300009
A1993LN60900007	A1985AUN6400009
000399294100017	A1988P699000006
000485291800005	000338620000001
000296167600017	000266810900024
000340663900005	000281372700010
000325258500006	000295690200006
000468419300013	000078483800011
000398567200010	000248876400005
000403273000014	000275818300008
000086584900011	A1991GV87700078
000484967300001	000329010900014
000504397400001	000432687100002
000313780300019	000265907000019
000297661900004	000071116700001
000375330500026	000077621600035
A1995TU23800004	A1989U540500006
000419863700020	000382599600022
000176689500006	A1995TL69500019
000358808800016	000325089500022
A1983SD31000002	A1983QJ42200007
000287061000004	000228226100008
000385794500003	000228025100003
000393800200005	000248955200012
000289221100006	000169704800015
A1992JL74500020	A1983RE64900011
000303706500001	000228426700009
